£22bn


£18.664bn


£18.15bn


£14.37bn


£12.6bn


£12.256bn


£12bn


£11.339bn


£11.221bn


£10.9bn


£10.669bn


£10.57bn


£10.5bn


£10.1bn


£9.711bn


£9.606bn


£8bn


£7.543bn


£6.856bn


£6.85bn


£6.842bn


£6.35bn


£6.1bn


£6.1bn


£5.661bn


£5.402bn


£5.08bn


£5.063bn


£4.567bn


£4.358bn


£4.284bn


£4.19bn


£4.15bn


£4.05bn


£4.019bn


£4.008bn


£4bn


£3.7bn


£3.6bn


£3.59bn


£3.544bn


£3.534bn


£3.504bn


£3.316bn


£3.3bn


£3.193bn


£3.071bn


£3.046bn


£3.005bn


£3bn



£3bn


£3bn


£2.992bn


£2.882bn


£2.835bn


£2.8bn


£2.62bn


£2.6bn


£2.6bn


£2.5bn


£2.3bn


£2.292bn


£2.26bn


£2.234bn


£2.2bn


£2.083bn


£2.054bn


£2.05bn


£2bn


£2bn


£2bn


£2bn


£1.99bn


£1.976bn


£1.969bn


£1.969bn


£1.95bn


£1.912bn


£1.8bn


£1.763bn


£1.762bn


£1.755bn


£1.72bn


£1.7bn


£1.7bn


£1.689bn


£1.674bn


£1.667bn


£1.66bn


£1.659bn


£1.654bn


£1.654bn


£1.648bn


£1.638bn


£1.602bn


£1.6bn


£1.576bn


£1.575bn


£1.525bn


£1.508bn



£1.5bn


£1.5bn


£1.5bn


£1.5bn


£1.434bn


£1.42bn


£1.401bn


£1.4bn


£1.4bn


£1.365bn


£1.345bn


£1.321bn


£1.294bn


£1.28bn


£1.28bn


£1.26bn


£1.25bn


£1.24bn


£1.24bn


£1.232bn


£1.228bn


£1.22bn


£1.21bn


£1.206bn


£1.2bn


£1.2bn


£1.2bn


£1.199bn


£1.178bn


£1.176bn


£1.163bn


£1.152bn


£1.15bn


£1.15bn


£1.15bn


£1.129bn


£1.102bn


£1.1bn


£1.1bn


£1.07bn


£1.06bn


£1.057bn


£1.05bn


£1.04bn


£1.025bn


£1.02bn


£1.017bn


£1bn


£1bn


£1bn



£1bn


£973m


£966m


£965m


£953m


£950m


£950m


£945m


£931m


£926m


£920m


£900m


£900m


£890m


£884m


£880m


£875m


£866m


£860m


£847m


£845m


£824m


£820m


£800m


£800m


£800m


£800m


£800m


£798m


£796m


£791m


£790m


£785m


£780m


£776m


£775m


£775m


£775m


£770m


£770m


£750m


£750m


£750m


£740m


£731m


£730m


£725m


